,system_code,location_code,location_name,primary_address_line_1,LONGITUDE,LATITUDE
607,84K711,K711,Leadership Preparatory Brownsville Charter School,985 ROCKAWAY AVENUE,-73.906662,40.655644
608,84K712,K712,Excellence Girls Charter School,794 MONROE STREET,-73.924422,40.6881
609,75K721,K721,P.S. K721 - Brooklyn Occupational Training Center,64 AVENUE X,-73.981925,40.58807
610,17K722,K722,New Heights Middle School,790 EAST NEW YORK AVENUE,-73.936313,40.662092
611,84K724,K724,Leadership Prep Canarsie Charter School (Leadershi,1070 EAST 104 STREET,-73.892797,40.644134
612,84K726,K726,Fahari Academy Charter School,72 VERONICA PLACE,-73.95348,40.648352
613,21K728,K728,Liberation Diploma Plus,2865 WEST 19TH STREET,-73.985413,40.576976
614,84K730,K730,Summit Academy Charter School,27 HUNTINGTON STREET,-74.005151,40.677914
615,84K731,K731,Brooklyn Excelsior Charter School,856 QUINCY STREET,-73.925087,40.689569
616,84K733,K733,"Math, Engineering, and Science Academy Charter Hig",231 PALMETTO STREET,-73.915217,40.695875
617,84K734,K734,The Ethical Community Charter School (TECCS),700 PARK AVENUE,-73.948166,40.697377
618,84K736,K736,New American Academy Charter School,9301 AVENUE B,-73.914282,40.651642
619,84K737,K737,Brownsville Ascend Charter School,1501 PITKIN AVENUE,-73.918123,40.668608
620,84K738,K738,New Visions Charter High School for Advanced Math,3000 AVENUE X,-73.936635,40.593157
621,84K739,K739,New Visions Charter High School for the Humanities,3000 AVENUE X,-73.936635,40.593157
622,84K740,K740,Brooklyn Scholars Charter School,2635 LINDEN BOULEVARD,-73.867138,40.669356
623,84K741,K741,Success Academy Crown Heights (Brooklyn 7),330 CROWN STREET,-73.949243,40.665757
624,84K742,K742,Explore Empower Charter School,188 ROCHESTER AVENUE,-73.928917,40.67271
625,84K744,K744,Coney Island Preparatory Public Charter School,501 WEST AVENUE,-73.972009,40.582518
626,84K744,K744,Coney Island Preparatory Public Charter School,501 WEST AVENUE,-73.972009,40.582518
627,17K745,K745,Brooklyn Institute for Liberal Arts,600 KINGSTON AVENUE,-73.943839,40.658671
628,84K746,K746,Hebrew Language Academy Charter School,2186 MILL AVENUE,-73.914312,40.612258
